Noun,Adjective,Verb,Adverb,Conjunction,To,Target
22299,7159,15050,6310,17145,2667,1
,,,,,,
20825,6711,14147,5931,16087,2737,1
,,,,,,
18070,6604,14869,6553,16333,2867,1
,,,,,,
7599,2338,4601,2026,5128,882,1
,,,,,,
21492,7047,16002,6568,17341,3044,1
,,,,,,
10957,3062,7036,2405,7696,1359,1
,,,,,,
5418,1965,3994,1725,4639,697,1
,,,,,,
21258,6807,13817,5614,16030,2822,1
,,,,,,
12558,4303,9087,3970,9701,1692,1
,,,,,,
7022,2590,5398,2233,5819,1003,1
,,,,,,
4269,1538,2997,1378,3254,586,1
,,,,,,
20381,6286,13921,5606,15836,2607,1
,,,,,,
1399,401,1078,463,1108,207,1
,,,,,,
20385,5895,14220,5644,15614,2580,1
,,,,,,
20378,6360,14180,5839,15349,2576,1
,,,,,,
4815,1472,3691,1540,4124,546,1
,,,,,,
20752,6873,14252,5902,16388,2786,1
,,,,,,
13349,4366,6255,2857,10272,1276,1
,,,,,,
13608,4766,8964,3796,11285,1453,1
,,,,,,
13113,4353,9304,4014,9426,1774,1
,,,,,,
8290,2992,6368,2943,6413,1136,1
,,,,,,
18962,6358,14619,6279,15702,2648,1
,,,,,,
10394,3954,4865,2621,8706,1090,1
,,,,,,
11797,3943,7422,3172,9361,1501,1
,,,,,,
10892,3502,7690,3204,8076,1396,1
,,,,,,
17732,6403,13965,6002,14967,2589,1
,,,,,,
5944,1980,4087,1511,4743,786,1
,,,,,,
21007,7455,11849,5594,17526,2032,1
,,,,,,
10742,3636,8224,3346,8450,1472,1
,,,,,,
1005,354,854,330,822,127,1
,,,,,,
6063,2087,4093,1753,4676,683,1
,,,,,,
20665,6882,14945,5925,16051,2833,1
,,,,,,
5881,1912,3854,1456,4901,744,1
,,,,,,
5797,1914,4118,1614,4627,776,1
,,,,,,
6083,1914,4035,1639,4407,746,1
,,,,,,
5982,1900,4177,1661,4672,711,1
,,,,,,
6066,1714,4481,1667,4581,777,1
,,,,,,
20072,6724,13300,5118,15163,2586,1
,,,,,,
21363,7549,14300,6235,16359,2612,1
,,,,,,
20508,6849,14658,6325,15390,2737,1
,,,,,,
15619,5340,11151,5017,11833,2051,1
,,,,,,
7822,2434,4976,2246,5381,928,1
,,,,,,
20629,6471,14366,6108,15729,2541,1
,,,,,,
4896,1635,3624,1383,3644,577,1
,,,,,,
21598,7082,15932,6587,17301,3045,1
,,,,,,
5914,1939,4036,1572,4620,725,1
,,,,,,
6172,1920,4145,1767,4646,786,1
,,,,,,
9606,2689,3017,1490,6654,884,1
,,,,,,
21651,6765,14100,5624,15373,2734,1
,,,,,,
6160,2003,4344,1900,4925,698,1
,,,,,,
20487,6735,14515,6167,15772,2787,1
,,,,,,
16068,5500,11740,4837,12496,1876,1
,,,,,,
6351,2020,4143,1759,4802,779,1
,,,,,,
20924,6952,14566,6355,16227,2636,1
,,,,,,
26832,9473,18342,8227,21961,3393,1
,,,,,,
19387,7054,16351,6997,18307,2824,1
,,,,,,
19275,7047,16351,6987,18297,2824,1
